timestamp,speed,fuel
1561522200,14.68950611,4.813948324
1561525200,16.63974605,5.931167328
1561528800,16.56744713,5.924517165
1561532400,17.58340104,7.384532235
1561536000,17.76155177,7.466707099
1561539600,18.14375268,7.881571408
1561543200,17.75503797,7.846647337
1561546800,,7.914451626
1561550400,17.81794197,7.75468518
1561554000,17.600102,7.414908162
1561557600,18.05443835,7.698591957
1561561200,18.63645858,7.693219911
1561564800,18.42821128,
1561568400,18.28628501,7.524128981
1561572000,18.02551377,7.502165199
1561575600,17.89194974,7.421480478
1561579200,17.03575976,0
1561582800,15.80513004,5.1047376
1561586400,17.8875234,7.189651947
1561590000,18.19978543,7.410584136
1561593600,18.13383457,7.373623021
1561597200,18.202547,7.336315167
1561600800,18.16647783,7.362734656
1561604400,18.15588599,7.384518193
1561608000,18.42442528,7.38331102
1561611600,18.36603949,7.316834554
1561615200,,7.41303149
1561618800,18.28490366,7.379019077
1561622400,18.11171957,7.325416737
1561626000,17.77832376,7.306622517
1561629600,17.81402166,7.390608331
1561633200,18.36002836,7.457180323
1561636800,18.39295524,7.46694994
1561640400,18.79967567,7.483110835
1561644000,19.05787421,7.473629604
1561647600,18.84702622,
1561651200,18.59952247,
1561654800,18.68143772,7.342332379
1561658400,18.62086361,7.404780269
1561662000,18.63540991,7.411177071
1561665600,18.36532823,7.386170256
1561669200,18.29538842,7.37604749
1561672800,18.38879151,7.400518016
1561676400,18.17945985,7.375587285
1561680000,18.86055721,7.421680635
1561683600,18.63084928,7.35542278
1561687200,18.9640493,7.427138798
1561690800,,
1561694400,18.19417757,7.475788665
1561698000,18.07987188,7.469203843
1561701600,18.13697847,7.446312356
1561705200,18.5786889,7.495997511
1561708800,18.54859895,7.490948175
1561712400,18.38424826,7.451047093
1561716000,18.48792428,7.472631942
1561719600,18.42931392,7.443958222
1561723200,18.41949102,7.474214453
1561726800,18.31461233,7.45269104
1561730400,18.29891429,7.474240921
1561734000,18.47182271,7.485176056
1561737600,18.38836629,7.549283466
1561741200,18.19161769,7.562550432
1561744800,,7.612041116
1561748400,18.19391842,7.643408541
1561752000,17.9322452,7.660304401
1561755600,18.12016867,7.640122253
1561759200,18.28203096,7.647842268
1561762800,18.33151133,7.60460678
1561766400,18.44071964,7.592206362
1561770000,18.31498557,7.56174802
1561773600,18.43523642,7.551619487
1561777200,18.56164126,7.553973658
1561780800,18.4922402,7.533149342
1561784400,18.38877145,7.50059629
1561788000,18.07149891,7.478627444
1561791600,18.34738272,7.48703482
1561795200,18.544382,7.449585616
1561798800,18.20732401,
1561802400,18.41324457,
1561806000,18.46437442,
1561809600,18.5420784,
1561813200,18.56312324,
1561816800,18.45750644,7.516954384
1561820400,18.65406027,7.595449754
1561824000,17.8130193,7.854275389
1561827600,17.78573524,7.897892505
1561831200,17.89455613,7.802663747
1561834800,17.71459548,7.919261432
1561838400,18.54586768,7.768892971
1561842000,17.55765494,8.068429296
1561845600,17.44747094,8.089933033
1561849200,17.59390657,8.044440603
1561852800,17.1660769,8.182755461
1561856400,17.37523112,8.07842122
1561860000,17.29094052,7.894724321
1561863600,,7.861098915
1561867200,17.87497462,7.842460595
1561870800,18.0246679,7.771458641
1561874400,17.96498121,
